SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,17,000,23191,00000,00000,0,A,Elizabethtown village,Illinois,218,217,218
162,17,000,23256,00000,00000,0,A,Elk Grove Village village,Illinois,32769,32664,32066
162,17,000,23269,00000,00000,0,A,Elkhart village,Illinois,438,436,439
162,17,000,23373,00000,00000,0,A,Elkville village,Illinois,836,834,829
162,17,000,23425,00000,00000,0,A,Elliott village,Illinois,273,273,273
162,17,000,23503,00000,00000,0,A,Ellis Grove village,Illinois,314,313,316
162,17,000,23529,00000,00000,0,A,Ellisville village,Illinois,85,85,84
162,17,000,23555,00000,00000,0,A,Ellsworth village,Illinois,181,181,180
162,17,000,23620,00000,00000,0,A,Elmhurst city,Illinois,45713,45649,45326
162,17,000,23698,00000,00000,0,A,Elmwood city,Illinois,2059,2053,2031
162,17,000,23724,00000,00000,0,A,Elmwood Park village,Illinois,24498,24414,23945
162,17,000,23737,00000,00000,0,A,El Paso city,Illinois,2761,2753,2739
162,17,000,23776,00000,00000,0,A,Elsah village,Illinois,530,529,528
162,17,000,23841,00000,00000,0,A,Elvaston village,Illinois,149,149,147
162,17,000,23945,00000,00000,0,A,Elwood village,Illinois,2229,2224,2216
162,17,000,23971,00000,00000,0,A,Emden village,Illinois,450,448,449
162,17,000,24062,00000,00000,0,A,Emington village,Illinois,100,100,99
162,17,000,24166,00000,00000,0,A,Energy village,Illinois,981,978,969
162,17,000,24179,00000,00000,0,A,Enfield village,Illinois,709,706,703
162,17,000,24348,00000,00000,0,A,Equality village,Illinois,546,546,541
162,17,000,24374,00000,00000,0,A,Erie village,Illinois,1521,1516,1511
162,17,000,24452,00000,00000,0,A,Essex village,Illinois,823,824,820
162,17,000,24543,00000,00000,0,A,Eureka city,Illinois,5235,5224,5193
162,17,000,24582,00000,00000,0,A,Evanston city,Illinois,79035,78796,77517
162,17,000,24608,00000,00000,0,A,Evansville village,Illinois,522,520,521
162,17,000,24634,00000,00000,0,A,Evergreen Park village,Illinois,19913,19846,19471
162,17,000,24673,00000,00000,0,A,Ewing village,Illinois,300,299,297
162,17,000,24699,00000,00000,0,A,Exeter village,Illinois,88,88,86
162,17,000,24764,00000,00000,0,A,Fairbury city,Illinois,3614,3605,3595
162,17,000,24816,00000,00000,0,A,Fairfield city,Illinois,4850,4833,4778
162,17,000,24933,00000,00000,0,A,Fairmont City village,Illinois,2265,2259,2235
162,17,000,24985,00000,00000,0,A,Fairmount village,Illinois,612,609,601
162,17,000,25063,00000,00000,0,A,Fairview village,Illinois,420,418,414
162,17,000,25141,00000,00000,0,A,Fairview Heights city,Illinois,16732,16681,16474
162,17,000,25375,00000,00000,0,A,Farina village,Illinois,565,565,562
162,17,000,25414,00000,00000,0,A,Farmer City city,Illinois,1834,1827,1815
162,17,000,25440,00000,00000,0,A,Farmersville village,Illinois,685,682,679
162,17,000,25531,00000,00000,0,A,Farmington city,Illinois,2348,2335,2314
162,17,000,25713,00000,00000,0,A,Fayetteville village,Illinois,298,298,298
162,17,000,25895,00000,00000,0,A,Ferris village,Illinois,128,128,127
162,17,000,25960,00000,00000,0,A,Fidelity village,Illinois,98,97,99
162,17,000,26012,00000,00000,0,A,Fieldon village,Illinois,175,174,172
162,17,000,26077,00000,00000,0,A,Fillmore village,Illinois,306,304,305
162,17,000,26116,00000,00000,0,A,Findlay village,Illinois,667,664,657
162,17,000,26194,00000,00000,0,A,Fisher village,Illinois,2052,2043,2023
162,17,000,26233,00000,00000,0,A,Fithian village,Illinois,490,488,481
162,17,000,26311,00000,00000,0,A,Flanagan village,Illinois,1011,1009,1007
162,17,000,26350,00000,00000,0,A,Flat Rock village,Illinois,322,320,322
162,17,000,26454,00000,00000,0,A,Flora city,Illinois,4798,4794,4753
162,17,000,26480,00000,00000,0,A,Florence village,Illinois,18,18,18
162,17,000,26571,00000,00000,0,A,Flossmoor village,Illinois,9677,9645,9461
162,17,000,26662,00000,00000,0,A,Foosland village,Illinois,76,75,74
162,17,000,26710,00000,00000,0,A,Ford Heights village,Illinois,1813,1807,1772
162,17,000,26753,00000,00000,0,A,Forest City village,Illinois,221,220,218
162,17,000,26935,00000,00000,0,A,Forest Park village,Illinois,14338,14289,14012
162,17,000,26987,00000,00000,0,A,Forest View village,Illinois,797,795,778
162,17,000,27026,00000,00000,0,A,Forrest village,Illinois,1034,1032,1027
162,17,000,27065,00000,00000,0,A,Forreston village,Illinois,1434,1431,1421
162,17,000,27091,00000,00000,0,A,Forsyth village,Illinois,3722,3715,3683
162,17,000,27442,00000,00000,0,A,Fox Lake village,Illinois,10993,10978,10927
162,17,000,27533,00000,00000,0,A,Fox River Grove village,Illinois,4706,4692,4688
162,17,000,27624,00000,00000,0,A,Frankfort village,Illinois,20306,20319,20492
162,17,000,27663,00000,00000,0,A,Franklin village,Illinois,595,593,589
162,17,000,27689,00000,00000,0,A,Franklin Grove village,Illinois,902,899,898
162,17,000,27702,00000,00000,0,A,Franklin Park village,Illinois,18429,18366,18298
162,17,000,27806,00000,00000,0,A,Freeburg village,Illinois,4579,4570,4532
162,17,000,27858,00000,00000,0,A,Freeman Spur village,Illinois,266,265,264
162,17,000,27884,00000,00000,0,A,Freeport city,Illinois,23986,23891,23650
162,17,000,28144,00000,00000,0,A,Fulton city,Illinois,3649,3637,3623
162,17,000,28170,00000,00000,0,A,Fults village,Illinois,24,24,24
162,17,000,28261,00000,00000,0,A,Galatia village,Illinois,817,812,801
162,17,000,28300,00000,00000,0,A,Galena city,Illinois,3304,3303,3282
162,17,000,28326,00000,00000,0,A,Galesburg city,Illinois,30139,30002,29712
162,17,000,28430,00000,00000,0,A,Galva city,Illinois,2476,2468,2456
162,17,000,28638,00000,00000,0,A,Gardner village,Illinois,1363,1360,1361
162,17,000,28742,00000,00000,0,A,Garrett village,Illinois,125,125,124
162,17,000,28807,00000,00000,0,A,Gays village,Illinois,223,222,222
162,17,000,28846,00000,00000,0,A,Geneseo city,Illinois,6537,6536,6512
162,17,000,28872,00000,00000,0,A,Geneva city,Illinois,21378,21342,21247
162,17,000,28898,00000,00000,0,A,Genoa city,Illinois,5281,5279,5300
162,17,000,28963,00000,00000,0,A,Georgetown city,Illinois,3142,3127,3092
162,17,000,29041,00000,00000,0,A,Germantown village,Illinois,1322,1322,1317
162,17,000,29080,00000,00000,0,A,Germantown Hills village,Illinois,3408,3400,3401
162,17,000,29093,00000,00000,0,A,German Valley village,Illinois,432,428,424
162,17,000,29125,00000,00000,0,A,Gibson City city,Illinois,3477,3478,3476
162,17,000,29145,00000,00000,0,A,Gifford village,Illinois,913,910,899
162,17,000,29171,00000,00000,0,A,Gilberts village,Illinois,8360,8359,8349
162,17,000,29236,00000,00000,0,A,Gillespie city,Illinois,3181,3169,3166
162,17,000,29275,00000,00000,0,A,Gilman city,Illinois,1752,1746,1731
162,17,000,29392,00000,00000,0,A,Girard city,Illinois,1786,1781,1765
162,17,000,29431,00000,00000,0,A,Gladstone village,Illinois,235,233,232
162,17,000,29483,00000,00000,0,A,Glasford village,Illinois,864,861,851
162,17,000,29496,00000,00000,0,A,Glasgow village,Illinois,112,112,110
162,17,000,29639,00000,00000,0,A,Glen Carbon village,Illinois,13818,13802,13812
162,17,000,29652,00000,00000,0,A,Glencoe village,Illinois,8829,8809,8687
162,17,000,29730,00000,00000,0,A,Glendale Heights village,Illinois,33241,33156,32796
162,17,000,29756,00000,00000,0,A,Glen Ellyn village,Illinois,28872,28810,28533
162,17,000,29938,00000,00000,0,A,Glenview village,Illinois,48769,48632,47856
162,17,000,30029,00000,00000,0,A,Glenwood village,Illinois,8668,8640,8477
162,17,000,30094,00000,00000,0,A,Godfrey village,Illinois,17803,17781,17729
162,17,000,30120,00000,00000,0,A,Godley village,Illinois,568,572,591
162,17,000,30133,00000,00000,0,A,Golconda city,Illinois,648,645,648
162,17,000,30159,00000,00000,0,A,Golden village,Illinois,648,646,640
162,17,000,30250,00000,00000,0,A,Golden Gate village,Illinois,62,62,61
162,17,000,30328,00000,00000,0,A,Golf village,Illinois,515,513,507
162,17,000,30445,00000,00000,0,A,Goodfield village,Illinois,935,935,938
162,17,000,30458,00000,00000,0,A,Good Hope village,Illinois,354,351,346
162,17,000,30575,00000,00000,0,A,Goreville village,Illinois,1173,1173,1187
162,17,000,30588,00000,00000,0,A,Gorham village,Illinois,170,170,168
162,17,000,30653,00000,00000,0,A,Grafton city,Illinois,627,640,685
162,17,000,30757,00000,00000,0,A,Grand Ridge village,Illinois,516,515,512
162,17,000,30770,00000,00000,0,A,Grand Tower city,Illinois,477,477,474
162,17,000,30835,00000,00000,0,A,Grandview village,Illinois,1405,1402,1391
162,17,000,30926,00000,00000,0,A,Granite City city,Illinois,27764,27697,27484
162,17,000,30978,00000,00000,0,A,Grantfork village,Illinois,343,342,343
162,17,000,30991,00000,00000,0,A,Grant Park village,Illinois,1275,1272,1262
162,17,000,31017,00000,00000,0,A,Granville village,Illinois,1361,1357,1336
162,17,000,31121,00000,00000,0,A,Grayslake village,Illinois,21278,21235,21121
162,17,000,31165,00000,00000,0,A,Grayville city,Illinois,1552,1544,1528
162,17,000,31368,00000,00000,0,A,Greenfield city,Illinois,1048,1042,1035
162,17,000,31446,00000,00000,0,A,Green Oaks village,Illinois,4106,4098,4080
162,17,000,31524,00000,00000,0,A,Greenup village,Illinois,1365,1362,1350
162,17,000,31563,00000,00000,0,A,Green Valley village,Illinois,629,628,622
162,17,000,31576,00000,00000,0,A,Greenview village,Illinois,744,742,733
